GeneName	Orthologs	GeneSymbolOrthologs	Dmel_paralogs	GeneSymbolDmel_paralogs	ParalogsThatHaveOrthologs	GeneSymbolParalogs
AGAP010223	FBgn0005771	noc	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010224	FBgn0267330	KdelR	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010225	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP010226	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP013748	NoDirectOrtholog	NULL	-	-	FBgn0033357	Tom7
AGAP010227	FBgn0033357	Tom7	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010228	FBgn0039877	Mccc1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010229	FBgn0037513	pyd3	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010230	FBgn0050021	metro	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010231	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP010232	FBgn0032910	CG9265	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010233	FBgn0010395	Itgbn	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010234	FBgn0266369	Mtp	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010235	FBgn0032901	sky	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010236	FBgn0032445	CG6153	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010237	NoDirectOrtholog	NULL	-	-	FBgn0032445	CG6153
AGAP010238	FBgn0032666	CG5758	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010239	FBgn0031322	CG5001	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010240	FBgn0250815	Jon65Aiv	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010241	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP010242	FBgn0041097	robo3	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010243	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP010244	FBgn0085203	CG34174	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028188	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP010245	FBgn0002543	robo2	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP029174	geneIDnotMapped	-	-	-	-	-
AGAP010246	FBgn0020545	kraken	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010247	FBgn0260648	Rrp40	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010248	FBgn0051922	CG31922	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010249	FBgn0032689	CG10413	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010250	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP010251	FBgn0025725	alphaCOP	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010252	FBgn0010078	RpL23	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010253	FBgn0250843	Prosalpha6	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010254	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP010255	FBgn0034159	CG15615	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010256	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP010257	FBgn0037351	RpL13A	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010258	FBgn0010235	Klc	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010259	FBgn0003513	ss	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010260	FBgn0051221	CG31221	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010261	FBgn0260003	Dys	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010263	FBgn0031077	THADA	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010264	FBgn0029864	CG15894	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010265	FBgn0000463	Dl	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010266	FBgn0038693	unc79	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010267	FBgn0027090	GlnRS	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010268	FBgn0037529	mRpS9	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010269	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP010271	FBgn0034307	CG10914	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010272	FBgn0031634	Ir25a	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010273	FBgn0015277	Pi3K59F	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010274	FBgn0037623	CG9801	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010275	FBgn0030582	CG14411	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010276	FBgn0017558	Pdk	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010277	FBgn0038437	Sdhaf3	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010278	FBgn0004087	Dhfr	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010279	FBgn0000606	eve	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010280	FBgn0041713	yellow-c	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010281	FBgn0260446	GABA-B-R1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010282	FBgn0015546	spel1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010283	FBgn0004360	Wnt2	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010286	FBgn0259246	brp	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010287	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP010288	FBgn0034763	RYBP	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010289	FBgn0020257	Ppa	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010290	FBgn0010194	Wnt5	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010291	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP010292	FBgn0040068	Vav	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010293	FBgn0260743	GC1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010294	FBgn0037992	CG4702	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010295	FBgn0001991	Ca-alpha1D	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010297	FBgn0026620	tacc	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010298	FBgn0022097	Vha36-1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010299	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP010300	NoDirectOrtholog	NULL	-	-	HasParalogButNoChanceOfOrthologOfParalogs	NULL
AGAP010301	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP010302	FBgn0037487	thw	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010303	FBgn0034366	Atg7	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010304	FBgn0052675	Tango5	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010305	FBgn0036500	CG7275	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010306	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP010307	FBgn0025381	rush	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010308	FBgn0037489	CG1234	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP010309	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP027986	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028360	geneIDnotMapped	-	-	-	-	-
AGAP028364	geneIDnotMapped	-	-	-	-	-
AGAP028366	geneIDnotMapped	-	-	-	-	-
AGAP028369	geneIDnotMapped	-	-	-	-	-
AGAP028370	geneIDnotMapped	-	-	-	-	-
AGAP028371	geneIDnotMapped	-	-	-	-	-
AGAP028373	geneIDnotMapped	-	-	-	-	-
AGAP028380	geneIDnotMapped	-	-	-	-	-
AGAP028382	geneIDnotMapped	-	-	-	-	-
AGAP028383	geneIDnotMapped	-	-	-	-	-
AGAP028386	geneIDnotMapped	-	-	-	-	-
AGAP028387	geneIDnotMapped	-	-	-	-	-
AGAP028389	geneIDnotMapped	-	-	-	-	-
AGAP012428	FBgn0011758	B-H1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012429	FBgn0053513	Nmdar2	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012430	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012431	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP012432	FBgn0035944	CG5021	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028574	geneIDnotMapped	-	-	-	-	-
AGAP012433	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012434	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012435	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012436	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012437	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012438	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP012439	FBgn0034606	ASPP	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012440	FBgn0036446	Mgat4a	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012441	FBgn0034286	dpr13	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012442	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028575	geneIDnotMapped	-	-	-	-	-
AGAP012443	FBgn0085415	CG34386	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012444	FBgn0033229	CG12822	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012445	FBgn0016078	wun	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012446	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012447	FBgn0026255	clumsy	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028576	geneIDnotMapped	-	-	-	-	-
AGAP028577	geneIDnotMapped	-	-	-	-	-
AGAP012448	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012449	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012450	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012451	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012452	FBgn0043362	bchs	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012453	FBgn0041629	Hexo2	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012454	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012455	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012456	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012457	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012458	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028578	geneIDnotMapped	-	-	-	-	-
AGAP012459	FBgn0027565	CG5498	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012460	FBgn0043010	Fsn	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012461	FBgn0011763	Dp	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012462	FBgn0034499	Cpr56F	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012463	FBgn0023511	Edem1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012464	FBgn0011672	Mvl	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012465	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012466	FBgn0033869	Cpr50Cb	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012467	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012468	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012469	FBgn0039681	CG7582	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012470	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012471	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012472	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028579	geneIDnotMapped	-	-	-	-	-
AGAP012473	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012474	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012475	NoDirectOrtholog	NULL	-	-	FBgn0010621	CCT5
AGAP012476	NoDirectOrtholog	NULL	-	-	FBgn0011300	babo
AGAP012477	NoDirectOrtholog	NULL	-	-	FBgn0030575	CG5321
AGAP012478	NoDirectOrtholog	NULL	-	-	FBgn0085408	Shrm
AGAP028650	geneIDnotMapped	-	-	-	-	-
AGAP012481	FBgn0011474	PR-Set7	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012483	NoDirectOrtholog	NULL	-	-	HasParalogButNoChanceOfOrthologOfParalogs	NULL
AGAP012484	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012485	FBgn0037638	CG8379	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012486	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012487	FBgn0034157	resilin	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012488	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012489	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012490	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP028705	geneIDnotMapped	-	-	-	-	-
AGAP028704	geneIDnotMapped	-	-	-	-	-
AGAP012492	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012493	FBgn0023513	CG14803	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012494	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012495	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012496	FBgn0038343	Trissin	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012497	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012498	FBgn0033866	CG6280	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012499	FBgn0026371	SAK	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012500	FBgn0032870	CG2608	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012501	FBgn0030058	CG11294	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012502	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP029093	geneIDnotMapped	-	-	-	-	-
AGAP029100	geneIDnotMapped	-	-	-	-	-
AGAP012503	NoDirectOrtholog	NULL	-	-	HasParalogButNoChanceOfOrthologOfParalogs	NULL
AGAP028580	geneIDnotMapped	-	-	-	-	-
AGAP012504	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012505	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012506	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP012507	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012508	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012509	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012513	FBgn0039537	CG5590	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012514	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012515	FBgn0035032	ATPsynF	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012516	FBgn0000629	E(z)	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012517	FBgn0035164	CG13901	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012518	FBgn0031632	CG15628	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012519	FBgn0001079	fu	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012520	FBgn0030242	sofe	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012521	FBgn0037881	GCC88	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012522	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012523	FBgn0036104	CG6418	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012524	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012525	NoDirectOrtholog	NULL	-	-	FBgn0030011	Gbeta5
AGAP012526	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012527	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012528	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP013132	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012529	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012530	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP012531	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP028581	geneIDnotMapped	-	-	-	-	-
AGAP028582	geneIDnotMapped	-	-	-	-	-
AGAP012532	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012533	FBgn0033570	ND-B14	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012534	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012535	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012536	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012537	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012538	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP012539	NoDirectOrtholog	NULL	-	-	HasParalogButNoChanceOfOrthologOfParalogs	NULL
AGAP012540	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012541	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012542	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028583	geneIDnotMapped	-	-	-	-	-
AGAP012543	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012544	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012545	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012546	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP012547	NoDirectOrtholog	NULL	-	-	FBgn0264078	Flo2
AGAP012548	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012549	FBgn0037429	Osi19	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012550	NoDirectOrtholog	NULL	-	-	FBgn0038475	Keap1
AGAP028584	geneIDnotMapped	-	-	-	-	-
AGAP012551	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012552	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012553	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP012554	NoDirectOrtholog	NULL	-	-	FBgn0036922	CG14182
AGAP012555	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028585	geneIDnotMapped	-	-	-	-	-
AGAP012556	FBgn0037413	Osi5	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012557	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012558	NoDirectOrtholog	NULL	-	-	FBgn0013981	His4r
AGAP012559	NoDirectOrtholog	NULL	-	-	FBgn0004828	His3.3B
AGAP012560	NoDirectOrtholog	NULL	-	-	FBgn0053868	His2B:CG33868
AGAP012561	NoDirectOrtholog	NULL	-	-	FBgn0263986	cd
AGAP012562	FBgn0053453	CG33453	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012563	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012564	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012565	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012566	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012567	NoDirectOrtholog	NULL	-	-	FBgn0263199	Galk
AGAP012568	NoDirectOrtholog	NULL	-	-	FBgn0263199	Galk
AGAP012569	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP012570	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028586	geneIDnotMapped	-	-	-	-	-
AGAP012571	NoDirectOrtholog	NULL	-	-	HasParalogButNoChanceOfOrthologOfParalogs	NULL
AGAP012572	NoDirectOrtholog	NULL	-	-	FBgn0004828	His3.3B
AGAP012573	NoDirectOrtholog	NULL	-	-	FBgn0004828	His3.3B
AGAP012574	NoDirectOrtholog	NULL	-	-	FBgn0013981	His4r
AGAP012575	NoDirectOrtholog	NULL	-	-	FBgn0001321	knk
AGAP012576	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012577	FBgn0250848	26-29-p	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012578	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012581	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012582	NoDirectOrtholog	NULL	-	-	FBgn0031836	CG11050
AGAP012583	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012584	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012585	FBgn0002985	odd	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012586	NoDirectOrtholog	NULL	-	-	FBgn0013981	His4r
AGAP012587	FBgn0033608	CG13220	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012588	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012589	NoDirectOrtholog	NULL	-	-	FBgn0037083	NoSymbolFound
AGAP012590	FBgn0030668	CG8128	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012591	FBgn0037627	CG13318	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012592	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012593	NoDirectOrtholog	NULL	-	-	FBgn0033356	CG8229
AGAP012594	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP012596	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP012597	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012598	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012599	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP012600	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012601	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012602	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028587	geneIDnotMapped	-	-	-	-	-
AGAP012603	NoDirectOrtholog	NULL	-	-	FBgn0259246	brp
AGAP012604	NoDirectOrtholog	NULL	-	-	FBgn0032913	CG9259
AGAP012605	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012606	FBgn0010704	NoSymbolFound	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012607	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP012608	NoDirectOrtholog	NULL	-	-	FBgn0250746	Prosbeta7
AGAP012609	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012610	NoDirectOrtholog	NULL	-	-	FBgn0011474	PR-Set7
AGAP012611	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012612	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012613	FBgn0040551	CG11686	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012615	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012616	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012617	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012619	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP012620	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP012621	NoDirectOrtholog	NULL	-	-	HasParalogButNoChanceOfOrthologOfParalogs	NULL
AGAP012622	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP012623	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012624	NoDirectOrtholog	NULL	-	-	FBgn0000084	AnxB10
AGAP012625	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP012626	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012627	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012628	NoDirectOrtholog	NULL	-	-	FBgn0032435	Oatp33Eb
AGAP028651	geneIDnotMapped	-	-	-	-	-
AGAP028588	geneIDnotMapped	-	-	-	-	-
AGAP012631	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012632	NoDirectOrtholog	NULL	-	-	FBgn0010704	NoSymbolFound
AGAP012633	NoDirectOrtholog	NULL	-	-	FBgn0259246	brp
AGAP012634	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP012635	FBgn0028518	CG18480	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012636	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012637	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP012638	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012641	NoDirectOrtholog	NULL	-	-	FBgn0037537	CG2767
AGAP012642	NoDirectOrtholog	NULL	-	-	FBgn0039291	CG13663
AGAP012643	FBgn0028425	JhI-21	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012644	NoDirectOrtholog	NULL	-	-	FBgn0032810	CG13077
AGAP012645	FBgn0034921	DCP1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012646	NoDirectOrtholog	NULL	-	-	FBgn0039650	Mesh1
AGAP012647	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012648	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP012649	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012650	NoDirectOrtholog	NULL	-	-	FBgn0034160	CG5550
AGAP012651	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP012652	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP012653	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012654	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012655	FBgn0032450	CG5776	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012656	NoDirectOrtholog	NULL	-	-	FBgn0030056	CAH3
AGAP012657	NoDirectOrtholog	NULL	-	-	FBgn0038804	CG10877
AGAP012658	NoDirectOrtholog	NULL	-	-	FBgn0034769	Obp58c
AGAP012659	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP012660	NoDirectOrtholog	NULL	-	-	FBgn0035622	TM9SF3
AGAP012661	NoDirectOrtholog	NULL	-	-	FBgn0037687	CG8132
AGAP012662	NoDirectOrtholog	NULL	-	-	HasParalogButNoChanceOfOrthologOfParalogs	NULL
AGAP012663	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012664	NoDirectOrtholog	NULL	-	-	FBgn0052225	CG32225
AGAP012665	NoDirectOrtholog	NULL	-	-	FBgn0013767	Crz
AGAP012666	NoDirectOrtholog	NULL	-	-	FBgn0031918	CG6055
