gene14364,sNPF
gene8180,unc-119
gene8181,CG2059
gene9581,CG5380
gene9580,mRpL40
gene9583,CG12713
gene9582,Acf
gene9857,Nup62
gene9587,mrn
gene9586,wun
gene9589,ECSIT
gene9858,CG42534
gene8455,Zip102B
gene8456,Lam
gene8457,pho
gene8453,CG43163
gene8459,pr
gene3991,CG13737
gene815,gish
gene15870,mRpL16
gene9191,CG3358
gene13831,CG12541
gene13832,santa-maria
gene11810,Cyp9f2
gene2368,mub
gene5808,CG7611
gene5809,CG6769
gene3369,icln
gene3368,Spt3
gene4407,Taf1
gene5803,eIF3k
gene3363,sm
gene5805,tutl
gene5806,bdl
gene5807,Atet
gene15662,sl
gene15664,CG33228
gene1479,drpr
gene1478,uif
gene1477,ndl
gene1472,noc
gene12128,Swip-1
gene12120,CG7131
gene12121,mwh
gene12124,CG8360
gene12125,Tor
gene12126,RpL37A
gene12127,smo
gene3182,Mppe
gene3180,CG10527
gene3187,Pdha
gene3185,Cdc2rk
gene3188,Orct
gene2588,Samtor
gene2589,pins
gene2581,frc
gene2582,Coq4
gene2583,Gorab
gene2584,sca
gene6298,NoSymbolFound
gene6299,EMC4
gene11492,Flo1
gene6290,Agpat3
gene6291,Obp73a
gene6292,Cpr73D
gene8264,unc-45
gene6294,CG11905
gene6297,CG7049
gene5750,Grd
gene5751,Ostgamma
gene5752,waw
gene5757,CG17739
gene5759,CG8435
gene7539,Wdr37
gene7532,Dph5
gene7531,CG10565
gene6124,dpp
gene6121,Pgant7
gene7459,Cdc23
gene14209,CG5044
gene14208,Sar1
gene7450,Alas
gene7453,Eogt
gene7452,PIG-Wa
gene7455,CG5446
gene7454,CG32554
gene7457,CG7420
gene7456,Fam92
gene7985,b6
gene7982,CG12237
gene10126,Vps25
gene10127,CG42727
gene10125,Ddx1
gene10129,eya
gene1277,TkR86C
gene1276,Cad96Ca
gene4188,Gs2
gene1272,Prestin
gene4180,CG13252
gene4186,dod
gene4187,mRpS29
gene4184,Evi5
gene1278,qm
gene8345,Pis
gene428,CG17765
gene429,CG4467
gene398,nAChRalpha5
gene399,Rap1
gene424,CaBP1
gene425,Lapsyn
gene426,CG8026
gene8840,blp
gene420,RhoGAP93B
gene393,CG6432
gene422,Oseg4
gene423,NoSymbolFound
gene3507,Arp2
gene1111,Vmat
gene1116,FANCI
gene1117,ytr
gene1115,hts
gene1119,CG15706
gene3505,CG31937
gene9462,CG7903
gene9463,CG17141
gene4981,mRpS10
gene9466,Hrd3
gene4984,Rpn12
gene9465,PTPMT1
gene9468,alpha-Man-IIa
gene9469,Gnpnat
gene648,ttv
gene649,Sap47
gene640,dpr6
gene644,CG2906
gene645,AGBE
gene12807,mRpL55
gene12806,cdi
gene12805,BCL7-like
gene12804,DCP1
gene6722,Bgb
gene6723,RpIII128
gene6724,byn
gene6727,Ac78C
gene7838,mEFTs
gene3820,CG4928
gene10294,wrd
gene13310,mrj
gene13311,Nep1
gene13312,Pp2A-29B
gene13313,Tsp33B
gene13314,CG14100
gene13315,Ipk1
gene14252,RpL30
gene442,Tre1
gene2770,Lar
gene8824,Elp1
gene7831,CG4901
gene441,CG4896
gene8357,NoSymbolFound
gene7467,RpL8
gene8820,CG2909
gene9518,CG8079
gene14259,ear
gene8354,RpS3A
gene2717,CG30496
gene2115,Notum
gene2119,CG10932
gene2118,bdg
gene2712,CG14182
gene14102,CG8187
gene14434,CG12128
gene14435,Spt7
gene14436,Bub3
gene14430,Rpe
gene14431,Mcm2
gene14432,CG42516
gene14438,CG31323
gene14439,NoSymbolFound
gene12374,CG1137
gene12376,Obp59a
gene12372,CG15096
gene12379,cg
gene4618,RpL14
gene4619,ZC3H3
gene4612,CG42540
gene4269,Mcad
gene9307,Atac2
gene9305,fus
gene10333,Non1
gene10332,DMAP1
gene5569,CG13003
gene10330,MTA1-like
gene10337,CG10793
gene10336,CG5521
gene10335,yata
gene5563,Alg-2
gene9303,Rgk2
gene10339,CG13601
gene5567,CG12267
gene5565,Sep2
gene5564,CG42813
gene11420,CG17264
gene11425,Nprl2
gene6913,CG5903
gene6911,MKP-4
gene6910,CG11964
gene6917,E2f1
gene6916,pum
gene6915,Spn85F
gene6919,CG42260
gene8616,CG15097
gene8614,CG1129
gene8615,Phb2
gene8619,Fancl
gene10843,CG2145
gene12642,TpnC41C
gene10845,CG1544
gene5179,Dim1
gene10599,CG3760
gene10846,FBXO11
gene5174,CG3224
gene10596,Cyp49a1
gene10594,CG10681
gene10593,Orc4
gene10590,nerfin-2
gene8472,wat
gene8473,teq
gene8477,ImpE3
gene8475,CG17698
gene11756,CG1907
gene893,Adi1
gene11757,CG15385
gene13818,Zip99C
gene13811,Dr
gene13814,Trc8
gene9870,danr
gene9873,Atg2
gene9874,TrpRS
gene9708,Mon1
gene2347,CG5455
gene2345,CG5390
gene9702,MetRS
gene2348,Prp3
gene2349,CG15456
gene9707,Prp38
gene3345,mof
gene3432,Gip
gene3431,ND-30
gene3346,NUCB1
gene4421,mol
gene3340,sv
gene4423,CG30340
gene4422,NoSymbolFound
gene5827,Cyp301a1
gene5824,CapaR
gene3438,croc
gene4429,ple
gene5820,CG1218
gene15647,CG43448
gene13769,Ns1
gene13768,CG1542
gene13767,Taf2
gene13766,CG12104
gene1491,cn
gene1496,Dgat2
gene1499,CG7910
gene1498,CG7376
gene12147,CG15529
gene12144,Pol31
gene12145,thoc5
gene12140,E(spl)mbeta-HLH
gene7088,ome
gene7089,La
gene7086,cbs
gene7087,NoSymbolFound
gene7084,Rpn3
gene7085,CG10492
gene7082,CG5048
gene5771,tobi
gene14592,Syt4
gene14591,Tm2
gene7554,fkh
gene7557,sima
gene7558,CG7950
gene7559,corto
gene6144,Ilp2
gene5485,CG8646
gene5486,ZnT49B
gene5480,CG4646
gene5482,fat-spondin
gene5483,CG9646
gene7439,mus201
gene7438,Paf-AHalpha
gene7437,Cbp20
gene12461,RpL3
gene7435,CG14551
gene7434,Kap-alpha3
gene2913,CG12016
gene7432,DZIP1
gene7431,CG2794
gene2910,Ent3
gene5175,Slimp
gene8287,sei
gene8281,lt
gene8280,CG13243
gene8289,CG5715
gene3595,Pfdn6
gene3591,fax
gene1259,CG15478
gene1258,Idh3a
gene1255,sigmar
gene1254,betaggt-I
gene1251,DIP-gamma
gene1253,CG10050
gene4161,Taf7
gene4162,CG14830
gene4164,CG7888
gene15224,pelo
gene4168,hrg
gene8860,CG5281
gene8863,CG14562
gene8862,prd
gene8864,myo
gene8868,Actbeta
gene11859,Hacd2
gene11858,Or23a
gene11853,CG15890
gene11854,CG30259
gene11857,CG32645
gene10108,mim
gene10458,Trpm
gene10104,Bruce
gene10457,Edc3
gene10454,Gle1
gene10100,borr
gene10453,CG5721
gene10450,Nedd4
gene10451,CG11050
gene13152,BI-1
gene13153,Dop1R1
gene13151,CG8939
gene13158,wap
gene13159,CG10914
gene6706,SoxN
gene406,CG32036
gene404,CG2747
gene405,BBS5
gene402,Gfrl
gene408,Cmpk
gene409,Kcmf1
gene2758,Fitm
gene13374,osy
gene13372,srl
gene13370,Rpb11
gene2750,CG32276
gene2753,CG4338
gene2752,MED23
gene2755,Prpk
gene2757,Gdap1
gene2756,CG10672
gene6449,mRpL47
gene6448,prd1
gene2281,kn
gene6441,Aladin
gene6440,CG10874
gene6443,beta'COP
gene6442,CG31301
gene6444,Sap130
gene2289,CG13901
gene6446,CCAP-R
gene10883,Vps35
gene10882,pst
gene662,pasi1
gene663,CG31221
gene660,Teh1
gene661,NoSymbolFound
gene666,trx
gene667,HisCl1
gene664,alpha-Cat
gene665,Crk
gene668,Naus
gene669,yki
gene2139,CG31224
gene2138,CG16908
gene2137,CG13607
gene2136,Root
gene2131,CG4781
gene2133,Vang
gene2132,Pfdn2
gene12687,brv2
gene12686,CG9861
gene12681,CG2875
gene12680,Elk
gene16509,CG17652
gene5720,holn1
gene13488,Tsf2
gene13489,CG5510
gene13480,Pex14
gene13481,Dd
gene13482,CG30467
gene13486,CkIalpha
gene13487,nst
gene12429,CG11095
gene8043,Sh3beta
gene12358,not
gene8042,PIG-P
gene12421,Mmp2
gene12420,CG15117
gene12423,CG5613
gene12422,wmd
gene12357,CG1486
gene12424,LSm7
gene12427,SC35
gene12426,Rab40
gene3088,Cypl
gene8516,CG8665
gene3082,Jheh2
gene7727,Sox21b
gene3086,alpha-Man-Ib
gene8513,ACC
gene8512,rad50
gene1532,abd-A
gene3664,CG17377
gene3662,Aps
gene12063,CG12126
gene3660,CG12608
gene3661,BHD
gene14908,CG1092
gene14909,CG14200
gene14903,Sam-S
gene14905,SF1
gene14906,scrib
gene14907,Dnali1
gene11621,sob
gene11626,p115
gene11624,bowl
gene11628,CG9265
gene13182,CG18259
gene5540,Mst85C
gene13188,CG9119
gene11446,klg
gene11447,CG11444
gene11442,CG5500
gene11440,CG16926
gene11441,CG30460
gene6930,Prosbeta2
gene6932,rt
gene6935,NoSymbolFound
gene6934,Top1
gene6937,OstDelta
gene6936,BCAS2
gene4362,CG11041
gene8670,Chc
gene8672,yrt
gene4366,CG33639
gene9247,CG14906
gene4216,NoSymbolFound
gene5152,Slh
gene5153,Trs20
gene5151,Tsp74F
gene5156,Tfb1
gene5155,NoSymbolFound
gene11998,Mlh1
gene11999,Dgkepsilon
gene11994,CG7044
gene270,dsx-c73A
gene11996,l(2)k05819
gene11997,lic
gene10719,CG8736
gene10713,CG13744
gene10715,CG8172
gene878,cathD
gene877,CG2926
gene876,RpS13
gene874,mus81
gene873,Roe1
gene3878,vnc
gene9819,Task7
gene9818,CG3817
gene9817,spn-E
gene3872,ssp
gene9815,Rab8
gene3870,CG11076
gene9813,CG3756
gene4396,CG5339
gene3874,Mtr4
gene1700,SdhC
gene1707,Herc4
gene1706,CG14086
gene1705,CG42268
gene1704,CycK
gene1708,CG43897
gene9723,Rab19
gene9722,CG7201
gene9727,TfIIA-S
gene9726,rasp
gene9729,BicD
gene9728,NoSymbolFound
gene5846,ocm
gene5842,NoSymbolFound
gene5843,DCTN5-p25
gene15625,CG32219
gene5848,tho2
gene5849,lace
gene13749,CG8549
gene13747,CG6115
gene13746,CG9386
gene13745,RpL23A
gene13743,fng
gene13742,Orc5
gene3413,Tbce
gene3412,Xpd
gene3414,GatB
gene5719,NoSymbolFound
gene5715,Pgant2
gene5717,fy
gene5711,kek3
gene14571,ATPsynC
gene14573,mRpL30
gene14572,CG5515
gene14575,Golgin104
gene14574,SMC3
gene14577,Iru
gene7572,CG7857
gene7573,Ahcy
gene7570,bonsai
gene7571,LysRS
gene7575,dally
gene6167,GlcAT-I
gene6165,sip1
gene6493,MCU
gene12583,Thor
gene7415,Membrin
gene7414,CYLD
gene7417,CG33169
gene8950,Atx2
gene7411,mRpL15
gene7413,NoSymbolFound
gene7412,NoSymbolFound
gene2939,axo
gene7418,dlp
gene4218,Sirt1
gene4317,Clp
gene10645,chb
gene4009,CG2063
gene11290,Ate1
gene11298,MED30
gene4007,D2hgdh
gene4006,spd-2
gene4146,nod
gene4147,CG12935
gene4144,CG2938
gene4145,NoSymbolFound
gene4143,CG6379
gene4141,CG17294
gene718,CG5068
gene4148,CG33144
gene9645,CG4953
gene14382,CG16787
gene8807,Lim1
gene8804,PR-Set7
gene8801,NoSymbolFound
gene9641,Eps-15
gene7943,CG13024
gene8262,CG41284
gene11874,HP1b
gene11873,beag
gene11872,eIF3c
gene7940,regucalcin
gene6898,Rab32
gene6897,CG5886
gene6895,CG7497
gene6893,DIP-zeta
gene6891,Wsck
gene10474,CG3594
gene10475,didum
gene10470,tou
gene7945,CG10663
gene243,Magi
gene10479,Hr3
gene6765,Ac3
gene6766,CG14082
gene6760,CG10026
gene6768,serp
gene6769,verm
gene461,CG8176
gene462,lft
gene464,CG43778
gene465,CG9008
gene466,kcc
gene469,Itpr
gene2738,CG4557
gene2736,NoSymbolFound
gene2734,LPCAT
gene2731,CG10804
gene6429,Ns3
gene6427,CG8569
gene6424,eIF4G1
gene6422,ATPsyndelta
gene6420,CG17163
gene13178,RtcB
gene13179,ine
gene688,CG3168
gene689,ari-1
gene684,Myt1
gene686,Hr78
gene687,CPT2
gene13175,RhoBTB
gene682,fs(1)M3
gene683,Saf-B
gene7387,CG6191
gene7386,RabX6
gene7381,Nfs1
gene7383,Amacr
gene7382,abo
gene7388,ApepP
gene16527,Andorra
gene6397,yps
gene6399,mTTF
gene6398,fws
gene13359,bond
gene13356,CG5326
gene13350,CG17119
gene12408,RhoGDI
gene12407,eRF3
gene12406,RNaseZ
gene12405,CG9246
gene12403,CG33978
gene12402,spz4
gene12401,Den1
gene12400,CG8839
gene3061,CG7369
gene3062,Tom40
gene3063,Rbbp5
gene3064,CG6712
gene3067,Krn
gene3068,CG8064
gene3069,ci
gene1518,hiro
gene1516,CG11839
gene1517,CG3909
gene1514,CG14515
gene1515,jus
gene1512,CG11590
gene1513,CG9813
gene3604,EMC3
gene3605,CG11563
gene3606,mRpL27
gene3607,Tsen34
gene3602,tex
gene3603,parvin
gene3608,Gk1
gene3164,Nup205
gene14966,cdc14
gene14964,CG16868
gene14965,CG1407
gene14963,CycG
gene14961,shf
gene276,CG5599
gene8107,egl
gene8104,CG12268
gene4792,stnA
gene15380,Graf
gene14055,CG10338
gene3163,CG33523
gene3162,CTCF
gene14050,Osi17
gene14051,Idh
gene14058,Ir68a
gene14059,CG9109
gene12774,Atg7
gene5527,CG11403
gene5526,CG9427
gene2898,Hexo2
gene2899,CG11241
gene5523,DNaseII
gene5521,CG14636
gene5520,CG12420
gene2892,Pop1
gene14383,CG13630
gene2891,CG18815
gene2896,Ppt1
gene2897,CG11294
gene14384,CG31278
gene2895,PICK1
gene6959,eEF1alpha2
gene6958,GCC185
gene6957,Sym
gene6956,CG17387
gene6955,CG14655
gene6952,Irp-1A
gene6951,Pgd
gene6950,Tgt
gene7600,CG5805
gene7601,Stat92E
gene7602,DPCoAC
gene7603,CG17272
gene7604,SmF
gene8125,CG14280
gene8655,CG1695
gene14038,Octalpha2R
gene7609,CG3270
gene11609,bur
gene11601,PGAP1
gene11602,CG5590
gene11604,Smyd4-2
gene10805,Rpb8
gene10804,CG13604
gene10807,TfIIEbeta
gene10801,COX7C
gene10800,CG14210
gene10803,CG7834
gene1350,mam
gene1352,Scp2
gene1353,CG3793
gene11469,Ggt-1
gene11467,geminin
gene11460,CG17996
gene11461,Tsen2
gene11462,VhaSFD
gene11463,128up
gene10739,Vajk4
gene10738,Prosalpha5
gene10736,Wnt2
gene10732,Herp
gene10731,CG10336
gene10730,p47
gene8793,CG9596
gene3851,tum
gene4802,mlt
gene4801,CG2918
gene3852,CG32447
gene4807,dl
gene4806,CCDC53
gene4805,RpL36A
gene9296,Neto
gene11802,ebo
gene147,onecut
gene146,Shal
gene140,CG7692
gene149,Ephrin
gene148,comm2
gene1721,RpS15
gene1720,Sirt6
gene1722,CG3223
gene9748,Rbf
gene15604,mRpL18
gene15607,CG32655
gene15978,eIF2Bbeta
gene13977,CG14618
gene13727,Hpd
gene13726,Rab26
gene13723,Mps1
gene13722,NSD
gene4235,CG30291
gene7933,Karybeta3
gene9348,Daxx
gene2078,hep
gene2071,CG6762
gene2072,Atf6
gene2075,CG2924
gene10521,Stoml2
gene5868,CG2865
gene3478,DUBAI
gene3476,Galk
gene5860,Vamp7
gene5861,OtopLc
gene5864,eag
gene5734,brat
gene5738,RpS3
gene5739,Kr-h2
gene14556,MED14
gene14555,Tsp66E
gene14554,Nmd3
gene14552,CG10075
gene7598,CG14342
gene4239,CTPsyn
gene10754,EbpIII
gene10756,Brd8
gene7934,Ns2
gene3298,CG7632
gene3292,CG4168
gene3297,CG11523
gene3296,CG11737
gene3294,CG12321
gene4021,Dera
gene1291,CG8516
gene1293,CG7872
gene1292,Nse4
gene5949,ZAP3
gene9192,CG33129
gene9190,CG3631
gene11816,Cht7
gene9196,CG7656
gene9197,CG3776
gene9195,mre11
gene9198,Crtc
gene11819,CG42331
gene11818,CG13631
gene4823,CG1504
gene9998,CG2100
gene9999,CG8765
gene9992,Usp14
gene9990,CG17321
gene9996,MED16
gene9997,XNP
gene6748,Wnt4
gene6749,NoSymbolFound
gene3248,CG10584
gene6740,Mcm7
gene6741,DNApol-alpha180
gene6746,CG31269
gene6744,Gr64f
gene3249,NoSymbolFound
gene5298,Pvf1
gene3244,CG2211
gene449,smash
gene338,Spn77Ba
gene339,CG31342
gene8353,BORCS5
gene443,Ca-alpha1D
gene440,CG31019
gene337,Dyrk3
gene446,CG33303
gene447,CG12241
gene8355,e(r)
gene445,por
gene2243,CG17168
gene14225,kuz
gene2241,mus101
gene2716,Coq9
gene2711,CG9304
gene8368,Gos28
gene2713,Helz
gene2244,MED4
gene2249,CG31198
gene14227,Hem
gene6405,dbo
gene6404,CG14613
gene6406,CG9281
gene6401,Cul3
gene6400,l(2)k14505
gene6403,jub
gene6402,CG9586
gene14221,RhoGAP54D
gene6408,Rrp6
gene302,bip2
gene2955,CG5131
gene14222,LSm1
gene7800,Cpr49Aa
gene13118,Bsg25D
gene2958,CG4611
gene15746,CG12984
gene2629,Adgf-A
gene22,CG1105
gene12197,CG6770
gene12464,lqf
gene12467,mRpS23
gene12466,Nup75
gene12393,Marcal1
gene12460,CG3184
gene12463,CG15387
gene12462,CDK2AP1
gene12468,l(1)10Bb
gene12399,CG11257
gene12398,CG11447
gene3046,NoSymbolFound
gene3047,CG12341
gene3597,glu
gene3590,CG1764
gene3043,HtrA2
gene3040,knrl
gene3041,CG14543
gene3598,CG9492
gene3048,NoSymbolFound
gene3049,dup
gene1574,CG10841
gene1575,sqd
gene1576,rin
gene1577,SPARC
gene1570,lab
gene1578,His2Av
gene1579,CG14721
gene3628,CG30394
gene3629,CG4945
gene3622,Deaf1
gene3620,CG7506
gene3626,RagC-D
gene3627,CG16753
gene3625,CG31465
gene15011,His3.3B
gene14947,Fili
gene8349,CG13760
gene4252,CG5522
gene3973,Cnb
gene88,CG6277
gene3976,CG17327
gene87,CG6295
gene5505,Obp99c
gene2870,tsr
gene2871,Rtf1
gene2872,Spred
gene2875,gcl
gene2876,CG4942
gene2877,TRAM
gene2878,hui
gene1993,CG9368
gene1997,Rbcn-3A
gene1994,mRpL2
gene1999,CG14457
gene6974,ctrip
gene6977,pnr
gene6971,CG5916
gene6970,CG7394
gene6973,CG4686
gene6972,CG13807
gene14342,Dok
gene12184,Mkk4
gene14056,CG10343
gene7627,PIG-A
gene7624,twi
gene7625,CG42674
gene14052,tant
gene14053,CG14778
gene7620,CG11699
gene7621,app
gene7628,GM130
gene8109,Mob3
gene11668,Sfp33A3
gene11666,beat-VII
gene10827,Ada
gene10826,Ric
gene10536,dpr1
gene10539,Rme-8
gene10538,CG13442
gene10828,CG13531
gene1376,how
gene1377,YL-1
gene1374,pit
gene1372,brk
gene1373,Atg5
gene1370,alpha-Spec
gene1371,Torsin
gene11482,AGO1
gene11481,CG3376
gene11486,Bem46
gene11484,Pfk
gene11485,Edem2
gene785,SsRbeta
gene784,Tmem63
gene787,X11L
gene786,CG32590
gene781,Teh4
gene780,Teh2
gene783,CG9773
gene789,CG13404
gene788,ben
gene4828,spn-A
gene4820,CG4294
gene9503,CG5645
gene9502,Hmgs
gene9505,eIF3j
gene9504,Srp54
gene4827,ktub
gene3839,PGRP-LE
gene3838,DIP2
gene163,CG17931
gene162,Paip2
gene165,CG9986
gene164,hook
gene167,CG44243
gene166,HUWE1
gene169,CG18480
gene168,Shark
gene1749,CG17782
gene1748,CG13616
gene1745,CG34428
gene9769,CG14683
gene9765,pros
gene10415,CG4619
gene9761,dsx
gene9760,b
gene11941,Hpr1
gene13259,st
gene13708,CG42797
gene13702,Srrm234
gene13701,IP3K1
gene13707,CG9921
gene11417,CG43783
gene5089,PGAP2
gene5080,l(2)k09913
gene5081,RhoGAP71E
gene5082,Cka
gene5083,CG14043
gene5084,me31B
gene5085,Trim9
gene5087,L2HGDH
gene2500,Egm
gene2501,CG14507
gene2502,gro
gene7023,TfIIFbeta
gene2059,CG3253
gene2508,DCP2
gene6210,Sod1
gene6211,ATPsynG
gene6212,Sardh
gene6213,Cep97
gene6214,Mob2
gene6215,mt:ND6
gene6216,Hip14
gene6217,CG8336
gene6219,NoSymbolFound
gene16288,Timp
gene5881,Hmt4-20
gene5882,rdgC
gene5884,Pgant6
gene3450,bab1
gene5886,CG12278
gene3452,metro
gene15950,Uba3
gene5889,scf
gene3459,prc
gene3458,wus
gene14539,IntS3
gene14535,Rsbp15
gene14534,spel1
gene14536,Su(Tpl)
gene14531,Son
gene14530,CG32549
gene16028,CG5516
gene12073,CG4577
gene12071,Tak1
gene12076,RunxB
gene12074,CG5808
gene14281,PK1-R
gene14280,CG10803
gene14287,CDase
gene14289,PH4alphaEFB
gene4594,Prm
gene4597,CG8005
gene4596,MCPH1
gene4599,CG12084
gene4598,GAPsec
gene4047,CG31075
gene4046,Rel
gene4043,Atac3
gene4042,Ubc6
gene4041,CG9356
gene7022,beta3GalTII
gene4049,D12
gene4048,ND-AGGG
gene2507,Prip
gene4102,Rac1
gene4100,CG7839
gene4101,CG4537
gene4104,CG10307
gene14394,Fdx2
gene11349,CG4329
gene11839,CG12824
gene11838,CG43075
gene11833,CG10254
gene11832,CG31251
gene11342,CG6972
gene16287,Syn
gene11346,dimm
gene16286,CG42795
gene16280,CG9784
gene5318,l(2)dtl
gene5310,CG9578
gene5312,Or30a
gene5314,Cyp4g15
gene5315,CG5504
gene8599,Clamp
gene8598,CG32533
gene8595,CG8306
gene8594,CG5065
gene8597,Mdh2
gene8596,RpL22
gene8591,Rph
gene9970,fdl
gene9975,Spp
gene9976,Prosbeta4
gene9977,CG4911
gene9978,Ravus
gene9979,simj
gene317,CG5367
gene5271,CG7810
gene313,CG11807
gene310,hrm
gene13992,nAChRalpha2
gene5279,lmgB
gene5278,Ndg
gene318,Mitf
gene319,Khc-73
gene7811,CG7011
gene7810,NijA
gene7812,mTerf3
gene8375,TwdlT
gene8374,CG12123
gene7817,Cdc37
gene7816,Spase25
gene7819,NoSymbolFound
gene7818,CG9752
gene1562,Dfd
gene5887,CG32204
gene13134,Nprl3
gene13135,Vps15
gene13137,Sec20
gene13133,CG3706
gene13138,RhoU
gene9110,CG34027
gene16564,CG4554
gene16565,CG30380
gene16560,HIPP1
gene16562,Zdhhc8
gene16563,cyp33
gene9440,Gcn2
gene9441,Rox8
gene9114,CG11596
gene13399,CG8500
gene13390,stan
gene13391,slim
gene13392,CG13842
gene13393,CG13667
gene13394,Ent2
gene13395,CG31357
gene13397,RpIIIC53
gene1084,ATPsynE
gene1082,mRpL43
gene1083,Gpat4
gene1089,CG12547
gene3024,Picot
gene3027,CG7102
gene3020,CG30122
gene3021,CG7222
gene3022,deltaCOP
gene3023,hfw
gene14165,CG4866
gene7713,CG1358
gene1559,Scr
gene1553,Antp
gene2197,CG31064
gene2195,crim
gene2194,fd3F
gene2193,CG5445
gene2191,sug
gene4692,CG42245
gene4693,ssp6
gene4691,MEP-1
gene4696,Mtch
gene4694,fmt
gene4695,eIF3i
gene4698,path
gene4699,TBC1D23
gene15033,Eig71Ea
gene15038,CG15888
gene12913,ed
gene12912,capu
gene12447,peng
gene13197,CG14309
gene7253,Got1
gene7251,subdued
gene7250,CG6664
gene7255,CG33331
gene6023,fs(1)N
gene6027,Pvf3
gene6026,CG7231
gene6025,CG5776
gene6024,CG11409
gene13190,Skeletor
gene8168,gny
gene8169,CG33671
gene7644,CR11023
gene14075,Osi8
gene14076,Osi9
gene8167,CG12075
gene8160,slx1
gene8161,org-1
gene7642,Gpo1
gene7643,Dlic
gene9254,Galphas
gene11132,CG33521
gene11645,CG43322
gene11130,CG9630
gene11647,CG14105
gene11642,CG8841
gene11135,ohgt
gene11139,CG9649
gene9250,COX4
gene10517,Clbn
gene10516,Rsph4a
gene10514,AMPdeam
gene10512,Klp98A
gene10511,mute
gene10510,mIF2
gene10519,CG17486
gene10518,NoSymbolFound
gene1314,CG5946
gene1315,Ugalt
gene1317,EMC10
gene1310,CG13315
gene1312,CG3744
gene1313,mRpL51
gene9259,Dysb
gene1318,Rbm13
gene13660,SERCA
gene8788,Sms
gene818,svp
gene8780,CG9801
gene766,CG14331
gene762,Cht5
gene761,CG42369
gene13890,Nop17l
gene13896,Sp1
gene4849,Ac13E
gene9568,Rpt2
gene3815,RpIIIC160
gene3814,Pfdn1
gene9565,Lrr47
gene9564,Ada2b
gene3811,CNMa
gene4842,TTLL1B
gene3813,pix
gene4840,mRpL21
gene13099,Rad51D
gene108,Naprt
gene103,nkd
gene102,CG7378
gene101,Rab6
gene100,krz
gene107,capt
gene105,CG31663
gene104,woc
gene1765,Cyt-b5
gene1764,Gapvd1
gene1766,Hr4
gene1761,tpr
gene1762,Gyc89Db
gene3964,Karl
gene9783,CG30172
gene9782,CG9416
gene9781,Mctp
gene9785,Phk-3
gene10773,CG4972
gene10772,Spase12
gene10771,Rab2
gene10770,Fcp1
gene10777,tara
gene10775,htk
gene10774,PMP34
gene13275,dpy
gene13273,Dp1
gene13272,SdhB
gene13270,chif
gene3966,dy
gene2526,CG8414
gene7007,CG2016
gene2036,CG32756
gene2037,boca
gene7002,CG8531
gene2523,FMRFaR
gene2032,mRpL32
gene2033,spn-F
gene7008,CG1124
gene6239,CG31897
gene7075,l(2)37Cb
gene14511,CG7352
gene14510,CG11334
gene14517,NoSymbolFound
gene14516,CG11454
gene14519,Ipp
gene12050,mRpS21
gene12051,DNApol-alpha73
gene12052,Spt6
gene12053,SamDC
gene12055,CG5112
gene12056,CG9065
gene12057,fz4
gene4985,CG9213
gene4065,Mcm6
gene4064,CG13954
gene4066,CG13409
gene4061,Adar
gene4060,fh
gene4062,p24-1
gene4430,gce
gene11583,INPP5E
gene11581,step
gene11585,ADPS
gene11584,nonA
gene279,CG2540
gene7978,CG12531
gene3370,Upf2
gene11364,yellow-h
gene11361,yellow-d2
gene4411,ena
gene271,aos
gene3372,alpha-Catr
gene6836,Ntl
gene6837,CG7214
gene6838,NoSymbolFound
gene6839,CG7191
gene5338,Ubr1
gene5339,kek6
gene275,Atg4b
gene5334,r-l
gene5335,l(1)G0020
gene5332,CG34126
gene5333,Dpy-30L2
gene5330,CG3530
gene5331,mldr
gene8573,bol
gene8572,Lsm12a
gene7783,Mtpalpha
gene8570,Sr-CII
gene8576,Spt-I
gene7789,Cpr49Ag
gene7788,Cpr49Ah
gene8579,CG31068
gene8578,AP-1-2beta
gene9955,side-IV
gene9953,side
gene9950,CG12643
gene9951,side-VI
gene9958,Jasper
gene6787,cmet
gene6784,Rpb7
gene6785,Rab18
gene6783,Cfp1
gene6781,CG1434
gene5251,CG17646
gene5250,CG3038
gene5252,vir-1
gene10980,CG9896
gene6788,CG31886
gene6789,eIF4A
gene370,Efr
gene373,ken
gene375,dyl
gene377,wash
gene378,AhcyL1
gene379,eIF2D
gene7877,Atg17
gene8316,CG6415
gene8315,CG1275
gene8314,CG1227
gene7873,CG17684
gene7872,CG11034
gene8311,Hmt-1
gene505,disp
gene8318,Cul2
gene504,CG2070
gene503,lgs
gene595,CG9380
gene597,CG13995
gene590,NLaz
gene591,dnt
gene598,Cib2
gene9048,Gint3
gene9049,nito
gene2209,CG6966
gene9040,vlc
gene2206,sev
gene2205,CG14880
gene2204,CG5854
gene2203,HPS1
gene2202,Hex-A
gene9046,Ppa
gene9047,Wnt5
gene3551,CG8993
gene3552,CG8833
gene3553,Strump
gene3554,CG31381
gene3559,NoSymbolFound
gene5921,Sas10
gene3009,Pect
gene5024,Gnmt
gene5925,Mal-B2
gene180,snk
gene12605,CG3008
gene12604,CG5104
gene12607,Ppat-Dpck
gene12606,CG18787
gene12601,CG14812
gene12603,CG4743
gene12602,CG3149
gene13518,dnc
gene13519,udt
gene13510,Idh3b
gene14061,Gprk2
gene14060,CG11498
gene14065,CG5447
